description,category,amount
Treebo Hotels,Travel,11127.59
Tata CLiQ,Shopping,1588.64
split bill payment,Transfers & ATM,9094.25
AkasaAir Booking,Travel,5027.74
FOOD*DELIV*92544,Food & Dining,724.75
Faasos Online,Food & Dining,648.58
GOIBO*90455,Travel,576.17
Ola Electric Scooter,Transport,220.61
Blinkit Grocery*90649,Groceries,2497.67
Vedantu Live Classes,Education,7617.32
NEFT*16003,Transfers & ATM,4018.9
Delhi Metro DMRC,Transport,276.7
Gaana Music Pro,Entertainment,876.35
Google Pay Send Money,Transfers & ATM,8339.17
doctor consultation fee,Healthcare,2753.28
BPCL Petrol,Transport,296.0
upGrad Course Fee,Education,4538.37
Xbox Game Pass,Entertainment,538.07
gym membership fee,Healthcare,238.33
mobile accessories,Shopping,610.03
RTGS Transfer,Transfers & ATM,14394.72
online course payment,Education,4229.68
AIRTEL*49566,Utilities & Bills,480.7
restaurant bill payment,Food & Dining,896.62
resort booking,Travel,9115.74
DMart Ready Grocery,Groceries,414.19
online course payment,Education,1335.83
grocery shopping online,Groceries,2321.24
Nike India,Shopping,4838.04
Hathway Internet,Utilities & Bills,1833.56
BookMyShow Ticket*95498,Entertainment,615.72
tour payment,Travel,8037.21
Coursera India Course,Education,2581.84
MMYT*25776,Travel,8529.81
1mg Medicines Online,Healthcare,2275.39
UBER*TRIP*65435,Transport,701.07
weekly grocery,Groceries,300.01
gadget buy,Shopping,3272.32
BEST Bus Mumbai,Transport,138.84
utility bill,Utilities & Bills,2056.25
BESCOM Electricity Bill,Utilities & Bills,1471.26
Reliance Digital,Shopping,4834.83
cab booking fare,Transport,319.01
Biryani By Kilo,Food & Dining,140.67
BluSmart EV Cab,Transport,273.01
Hathway Internet,Utilities & Bills,403.76
travel insurance,Travel,7689.02
NEFT Transfer HDFC*97235,Transfers & ATM,5095.68
ZMT*ORD82063,Food & Dining,264.94
weekly grocery,Groceries,460.29
Nature's Basket Order,Groceries,2180.52
medicine purchase,Healthcare,1525.62
FLPKRT*94278,Shopping,3249.07
MMYT*92799,Travel,11500.84
CESC Kolkata,Utilities & Bills,1356.77
Pizza Hut Delivery,Food & Dining,986.56
Duolingo Premium,Education,576.71
Pizza Hut Delivery,Food & Dining,937.71
PlayStation Store,Entertainment,803.61
MPL Gaming,Entertainment,680.29
BSNL Landline,Utilities & Bills,1654.78
Paytm Wallet Load,Transfers & ATM,2155.61
Paytm Wallet Load,Transfers & ATM,7114.68
holiday package,Travel,11148.11
IMPS Transfer*44242,Transfers & ATM,11846.65
AIRTEL*98753,Utilities & Bills,441.99
Library Fine Payment,Education,3295.49
resort booking,Travel,6379.62
Blinkit Grocery*22137,Groceries,1220.68
ACT Fibernet Bill,Utilities & Bills,1781.44
Croma Electronics,Shopping,3998.42
Great Learning Program,Education,1300.64
Croma Electronics,Shopping,4680.11
metro card recharge,Transport,430.8
skill development course,Education,5996.32
1MG*90440,Healthcare,2392.93
Domino's Pizza Order,Food & Dining,951.13
Swiggy Instamart,Groceries,1517.67
RedBus Ticket Booking,Transport,705.64
Apple Music India,Entertainment,487.66
Lifestyle Stores,Shopping,787.23
Milkbasket Order,Groceries,1089.0
family transfer,Transfers & ATM,3014.99
bank transfer online,Transfers & ATM,6680.07
Zepto Quick Grocery,Groceries,338.25
grocery shopping online,Groceries,1832.63
PharmEasy Order,Healthcare,2165.47
Air India Ticket,Travel,8982.32
yoga class,Healthcare,2112.22
lab test booking,Healthcare,2872.0
train ticket booking,Transport,441.31
phonepe send,Transfers & ATM,2477.87
BookMyShow Ticket*95686,Entertainment,991.51
broadband bill pay,Utilities & Bills,499.68
Ola Electric Scooter,Transport,529.2
book purchase Amazon,Education,4175.14
GoFirst Air,Travel,1374.33
IndiGo Airlines,Travel,2177.2
online course payment,Education,1116.35
Country Delight Milk,Groceries,1013.86
concert ticket,Entertainment,890.74
More Supermarket,Groceries,1144.93
gadget buy,Shopping,4651.08
APOLLO*57826,Healthcare,2887.59
Duolingo Premium,Education,4833.43
Croma Electronics,Shopping,3111.58
ZEE5 Premium,Entertainment,793.06
Milkbasket Order,Groceries,2053.67
OYO Rooms Booking*84774,Travel,5097.68
electronics purchase,Shopping,3900.68
Hathway Internet,Utilities & Bills,1199.76
Cafe Coffee Day,Food & Dining,1126.87
IMPS*67407,Transfers & ATM,11162.2
weekly grocery,Groceries,1826.74
Country Delight Milk,Groceries,2207.21
Yulu Bike Rental,Transport,653.17
Excitel Broadband,Utilities & Bills,1531.02
Nike India,Shopping,3165.24
BookMyShow Ticket*23224,Entertainment,633.55
flipkart order delivery,Shopping,2110.87
OLA*RIDE*48254,Transport,431.65
BMTC Bengaluru,Transport,56.07
gaming purchase Steam,Entertainment,869.53
Dream11 contest,Entertainment,966.52
milk subscription daily,Groceries,2309.36
petrol pump payment,Transport,773.62
OLA*CAB*27275,Transport,61.15
DMart Ready Grocery,Groceries,1256.55
d2h recharge,Utilities & Bills,2010.13
H&M India Online,Shopping,826.81
Apollo Pharmacy Order,Healthcare,2614.2
MPL Gaming,Entertainment,614.59
fresh produce market,Groceries,723.08
Paytm Wallet Load,Transfers & ATM,14649.87
Domino's Pizza Order,Food & Dining,147.89
Meesho App Purchase,Shopping,2746.43
ATM cash withdrawal,Transfers & ATM,11769.94
1MG*33995,Healthcare,2848.73
INOX Movies,Entertainment,603.8
diagnostic center fee,Healthcare,2397.88
Reliance Digital,Shopping,3934.77
Burger King India,Food & Dining,293.03
Meru Cabs,Transport,124.38
ATM cash withdrawal,Transfers & ATM,9987.98
milk subscription daily,Groceries,918.75
NEFT Transfer HDFC*29443,Transfers & ATM,5620.25
Indian Oil Fuel,Transport,292.83
Vogo Scooter,Transport,648.37
FOOD*DELIV*23970,Food & Dining,951.83
Vistara Flight,Travel,1396.26
vegetables fruits purchase,Groceries,2260.64
Swiggy Instamart,Groceries,274.13
Nature's Basket Order,Groceries,572.89
Fassos Wrap,Food & Dining,1061.53
friend money sent,Transfers & ATM,12873.46
FLPKRT*30210,Shopping,1020.93
AMZN*PAY*12665,Shopping,2073.57
Adidas India Store,Shopping,4515.71
SPOTIFY*47914,Entertainment,309.75
PVR Cinemas*14763,Entertainment,996.45
FOOD*DELIV*81482,Food & Dining,177.37
gas cylinder booking,Utilities & Bills,1738.74
Udemy Course Purchase,Education,1652.61
landlord rent transfer,Transfers & ATM,6217.64
OYO Rooms Booking*98580,Travel,11491.47
Ludo King Premium,Entertainment,282.5
Meesho App Purchase,Shopping,3614.44
RedBus Ticket Booking,Transport,312.59
ACT Fibernet Bill,Utilities & Bills,992.75
BYJU*89195,Education,349.81
Vistara Flight,Travel,9535.84
BYJU*72786,Education,1921.63
skill development course,Education,5763.21
Dream11 contest,Entertainment,339.29
Rapido Bike Taxi,Transport,639.88
Pizza Hut Delivery,Food & Dining,236.39
Puma Online India,Shopping,2467.26
dental clinic payment,Healthcare,1813.19
travel insurance,Travel,8525.51
Columbia Asia,Healthcare,597.75
Adidas India Store,Shopping,3101.99
YouTube Premium Monthly,Entertainment,103.66
Amazon Prime Video,Entertainment,711.31
Yatra.com Ticket,Travel,8789.38
Manipal Hospital,Healthcare,2489.9
Nykaa Beauty Order,Shopping,4867.4
tour payment,Travel,3556.88
BPCL Petrol,Transport,269.1
Treebo Hotels,Travel,3393.94
Library Fine Payment,Education,2287.86
Biryani By Kilo,Food & Dining,594.56
BEST Bus Mumbai,Transport,655.42
Box8 Meals,Food & Dining,791.18
supermarket bill,Groceries,1406.69
Paytm Wallet Load,Transfers & ATM,14805.75
grocery shopping online,Groceries,2193.58
BPCL Petrol,Transport,335.01
SpiceJet Booking,Travel,3102.4
Boat Audio Products,Shopping,4575.63
dental clinic payment,Healthcare,1700.76
Narayana Health,Healthcare,2685.29
BEST Bus Mumbai,Transport,448.37
fresh produce market,Groceries,242.29
Airtel Prepaid Recharge,Utilities & Bills,1724.92
rent payment UPI,Transfers & ATM,13491.67
FOOD*DELIV*32810,Food & Dining,769.38
electronics purchase,Shopping,1805.65
gas cylinder booking,Utilities & Bills,1315.38
flight ticket purchase,Travel,1894.23
Burger King India,Food & Dining,830.09
Spencer's Retail,Groceries,2090.92
BSNL Landline,Utilities & Bills,2322.43
milk subscription daily,Groceries,2262.22
IRCTC E-TICKET*82641,Transport,205.37
Vistara Flight,Travel,575.54
Google Pay Send Money,Transfers & ATM,5696.88
ott platform payment,Entertainment,540.54
Ola Electric Scooter,Transport,641.46
split bill payment,Transfers & ATM,14365.1
gym membership fee,Healthcare,1152.29
Netmeds Medicine Order,Healthcare,361.47
yoga class,Healthcare,480.32
McDonald's India,Food & Dining,1117.53
SBI ATM Withdrawal,Transfers & ATM,595.97
Cult.fit Membership,Healthcare,2524.7
BigBasket BB Order*24920,Groceries,1777.42
Meesho App Purchase,Shopping,2686.41
rent payment UPI,Transfers & ATM,14831.55
restaurant bill payment,Food & Dining,120.35
ZEE5 Premium,Entertainment,610.0
clothes shopping,Shopping,3658.76
Vogo Scooter,Transport,283.73
BPCL Petrol,Transport,364.35
canteen payment,Food & Dining,1027.64
mess fee online,Food & Dining,1016.02
travel insurance,Travel,8970.05
paytm transfer,Transfers & ATM,13424.79
WinZO Games,Entertainment,113.97
family transfer,Transfers & ATM,13524.65
SBI ATM Withdrawal,Transfers & ATM,730.99
travel insurance,Travel,11954.16
concert ticket,Entertainment,531.4
flight ticket purchase,Travel,6245.38
Udemy Course Purchase,Education,3203.8
PlayStation Store,Entertainment,170.16
zomato order khaana,Food & Dining,188.32
Country Delight Milk,Groceries,613.53
family transfer,Transfers & ATM,11451.03
metro card recharge,Transport,398.94
cab booking fare,Transport,708.28
SBI ATM Withdrawal,Transfers & ATM,12845.96
kirana store upi,Groceries,1558.23
IMPS Transfer*51060,Transfers & ATM,8440.38
TNEB Power Bill,Utilities & Bills,602.92
Vijay Sales,Shopping,2641.54
supermarket bill,Groceries,1216.31
Library Fine Payment,Education,1678.6
electronics purchase,Shopping,3999.77
swiggy se khana,Food & Dining,467.17
Narayana Health,Healthcare,1290.71
eye clinic glasses,Healthcare,1971.44
IndiGo Airlines,Travel,3200.91
NEFT Transfer HDFC*97394,Transfers & ATM,5735.44
book purchase Amazon,Education,1387.72
Cult.fit Membership,Healthcare,1172.01
Tata Power Mumbai Bill,Utilities & Bills,493.66
Vistara Flight,Travel,657.93
Adidas India Store,Shopping,4936.57
InDrive Cab,Transport,698.68
Myntra Fashion,Shopping,2839.54
family transfer,Transfers & ATM,11463.65
GoFirst Air,Travel,749.57
paytm transfer,Transfers & ATM,3181.71
IRCTC E-TICKET*72422,Transport,386.21
paytm transfer,Transfers & ATM,10080.64
Dream11 contest,Entertainment,149.8
ZEE5 Premium,Entertainment,429.79
TNEB Power Bill,Utilities & Bills,1677.9
NEFT*30204,Transfers & ATM,12645.41
ACT Fibernet Bill,Utilities & Bills,1184.23
money sent UPI,Transfers & ATM,12606.74
ZEE5 Premium,Entertainment,114.43
money sent UPI,Transfers & ATM,4093.56
Nature's Basket Order,Groceries,1709.33
Excitel Broadband,Utilities & Bills,1784.05
food delivery online,Food & Dining,775.7
Hathway Internet,Utilities & Bills,1050.38
Boat Audio Products,Shopping,955.18
Nature's Basket Order,Groceries,576.71
bank transfer online,Transfers & ATM,8049.97
shopping online amazon,Shopping,408.01
hospital bill payment,Healthcare,1211.53
DMART*78118,Groceries,1877.12
Max Hospital,Healthcare,1241.67
Vedantu Live Classes,Education,6276.11
Cafe Coffee Day,Food & Dining,103.56
RTGS Transfer,Transfers & ATM,5543.88
flight ticket purchase,Travel,2424.16
khaana order,Food & Dining,1089.32
Swiggy Food Delivery,Food & Dining,1042.79
Tikona Internet,Utilities & Bills,655.69
BWSSB Water Bill,Utilities & Bills,1424.14
Dish TV Recharge,Utilities & Bills,867.16
metro card recharge,Transport,467.98
BEST Bus Mumbai,Transport,296.42
d2h recharge,Utilities & Bills,597.53
language learning app,Education,3262.93
book purchase Amazon,Education,5985.8
petrol pump payment,Transport,380.35
ZEE5 Premium,Entertainment,242.75
Great Learning Program,Education,4596.81
Swiggy Instamart,Groceries,1780.97
AIRTEL*61688,Utilities & Bills,278.67
ATM cash withdrawal,Transfers & ATM,11454.52
Cult.fit Membership,Healthcare,1608.36
Nature's Basket Order,Groceries,1368.28
cash withdrawal ATM,Transfers & ATM,13526.4
vegetables fruits purchase,Groceries,685.8
bus ticket online,Transport,554.21
College Fee Payment*84128,Education,4664.4
Gaana Music Pro,Entertainment,113.09
Reliance Fresh,Groceries,942.49
1mg Medicines Online,Healthcare,1712.2
Vijay Sales,Shopping,3984.68
Google Pay Send Money,Transfers & ATM,7371.62
BEST Bus Mumbai,Transport,791.62
Duolingo Premium,Education,5298.73
rent payment UPI,Transfers & ATM,2257.45
Apollo Pharmacy Order,Healthcare,2854.05
ZMT*ORD90120,Food & Dining,1031.71
Hathway Internet,Utilities & Bills,232.11
Vodafone Idea Vi,Utilities & Bills,206.28
NEET coaching fee,Education,6114.08
Fortis Healthcare,Healthcare,2559.44
flight ticket purchase,Travel,10347.55
gym membership fee,Healthcare,343.22
Vogo Scooter,Transport,434.93
IMPS*97282,Transfers & ATM,13443.95
online course payment,Education,5569.32
OYO Rooms Booking*65343,Travel,7691.21
Paytm Wallet Load,Transfers & ATM,9474.35
Medplus Pharmacy,Healthcare,2205.66
grocery shopping online,Groceries,1110.91
BMTC Bengaluru,Transport,361.62
Narayana Health,Healthcare,1202.79
BESCOM Electricity Bill,Utilities & Bills,770.74
kirana store upi,Groceries,300.98
IMPS Transfer*94604,Transfers & ATM,7634.83
Box8 Meals,Food & Dining,156.12
DTH recharge Tata Sky,Utilities & Bills,959.09
Fortis Healthcare,Healthcare,1327.36
Amazon Prime Video,Entertainment,613.76
travel booking,Travel,676.72
IMPS Transfer*41182,Transfers & ATM,2195.3
Reliance Fresh,Groceries,602.53
BIGBSKT*95820,Groceries,2373.91
BPCL Petrol,Transport,590.63
diagnostic center fee,Healthcare,550.83
GOIBO*90358,Travel,4445.61
restaurant bill payment,Food & Dining,870.35
Apple Music India,Entertainment,310.97
Meru Cabs,Transport,541.19
Duolingo Premium,Education,660.79
Vistara Flight,Travel,5675.71
dental clinic payment,Healthcare,1317.1
Spencer's Retail,Groceries,675.13
Haldirams Sweets,Food & Dining,707.07
Blinkit Grocery*16411,Groceries,625.13
JEE preparation course,Education,3101.13
swiggy se khana,Food & Dining,450.59
Lifestyle Stores,Shopping,2985.16
Rapido Bike Taxi,Transport,528.4
KFC India Order,Food & Dining,1059.42
khaana order,Food & Dining,988.06
electronics purchase,Shopping,2506.32
exam registration fee,Education,3049.32
DTH recharge Tata Sky,Utilities & Bills,375.32
gas cylinder booking,Utilities & Bills,1249.15
Tata Power Mumbai Bill,Utilities & Bills,1385.75
family transfer,Transfers & ATM,2413.34
BWSSB Water Bill,Utilities & Bills,173.63
ATM cash withdrawal,Transfers & ATM,2124.36
Xbox Game Pass,Entertainment,205.4
broadband bill pay,Utilities & Bills,2432.43
NEET coaching fee,Education,915.39
medicine purchase,Healthcare,1756.28
Puma Online India,Shopping,865.34
TNEB Power Bill,Utilities & Bills,1287.23
BYJU'S App Payment,Education,2466.97
RedBus Ticket Booking,Transport,389.0
Biryani By Kilo,Food & Dining,388.03
skill development course,Education,4517.65
BluSmart EV Cab,Transport,305.67
GPay/Send/85304,Transfers & ATM,2333.87
More Supermarket,Groceries,1151.9
BWSSB Water Bill,Utilities & Bills,711.53
IMPS*45728,Transfers & ATM,5357.03
Amazon Prime Video,Entertainment,160.17
family transfer,Transfers & ATM,1364.95
AkasaAir Booking,Travel,2293.95
Mahanagar Gas Bill,Utilities & Bills,1783.13
1mg Medicines Online,Healthcare,2546.27
PVR Cinemas*70150,Entertainment,682.46
bank transfer online,Transfers & ATM,11421.02
CESC Kolkata,Utilities & Bills,1809.29
PharmEasy Order,Healthcare,1545.29
Meru Cabs,Transport,597.21
bus ticket online,Transport,258.93
Dream11 contest,Entertainment,530.03
food delivery online,Food & Dining,446.07
RedBus Ticket Booking,Transport,417.7
MSEDCL Electricity,Utilities & Bills,1350.2
mobile recharge online,Utilities & Bills,426.82
Vijay Sales,Shopping,2263.02
fantasy sports entry,Entertainment,415.96
Medplus Pharmacy,Healthcare,1121.16
electronics purchase,Shopping,555.07
MakeMyTrip Hotel*91229,Travel,10353.54
Treebo Hotels,Travel,6221.82
WinZO Games,Entertainment,418.0
DTH recharge Tata Sky,Utilities & Bills,602.37
JIO*RCHG*72814,Utilities & Bills,1496.97
NEFT*33593,Transfers & ATM,10899.38
NEET coaching fee,Education,4259.69
Dish TV Recharge,Utilities & Bills,1158.72
Columbia Asia,Healthcare,2035.74
Dish TV Recharge,Utilities & Bills,767.02
Dish TV Recharge,Utilities & Bills,2260.96
Ludo King Premium,Entertainment,804.5
IMPS*94679,Transfers & ATM,11908.95
GPay/Send/30454,Transfers & ATM,562.27
Mahanagar Gas Bill,Utilities & Bills,528.69
NETFLIX*78069,Entertainment,510.29
gadget buy,Shopping,4702.35
AkasaAir Booking,Travel,3038.31
Zepto Quick Grocery,Groceries,849.19
d2h recharge,Utilities & Bills,274.25
IndiGo Airlines,Travel,10315.04
MMYT*68654,Travel,11537.98
MakeMyTrip Hotel*25985,Travel,11707.88
1MG*22203,Healthcare,1113.16
ATM cash withdrawal,Transfers & ATM,705.94
UPI/PhonePe/73577,Transfers & ATM,7966.1
BSNL Landline,Utilities & Bills,393.19
SonyLIV Premium,Entertainment,833.81
MakeMyTrip Hotel*14607,Travel,8130.82
NETFLIX*83783,Entertainment,368.81
IRCTC E-TICKET*89887,Transport,703.13
GPay/Send/20545,Transfers & ATM,12697.13
electricity bill payment,Utilities & Bills,1090.75
Airbnb India Stay,Travel,10490.65
GPay/Send/17184,Transfers & ATM,7963.68
TripAdvisor Hotel,Travel,1607.47
medicine purchase,Healthcare,230.39
Max Hospital,Healthcare,2284.54
Faasos Online,Food & Dining,498.23
Boat Audio Products,Shopping,4530.99
BEST Bus Mumbai,Transport,505.3
split bill payment,Transfers & ATM,1128.1
Airbnb India Stay,Travel,5565.33
electronics purchase,Shopping,4010.51
Tikona Internet,Utilities & Bills,1272.37
Country Delight Milk,Groceries,1720.13
medicine purchase,Healthcare,2371.7
FLPKRT*83638,Shopping,1133.54
khaana order,Food & Dining,830.3
Indian Oil Fuel,Transport,782.46
vegetables fruits purchase,Groceries,503.08
clothes shopping,Shopping,1892.87
OLA*RIDE*80010,Transport,144.94
fresh produce market,Groceries,1028.5
split bill payment,Transfers & ATM,7224.53
family transfer,Transfers & ATM,13360.27
ShopClues Order,Shopping,1231.91
hotel booking online,Travel,8066.09
BESCOM Electricity Bill,Utilities & Bills,1456.52
hotel booking online,Travel,4618.93
Meesho App Purchase,Shopping,4928.62
JIO*RCHG*95199,Utilities & Bills,493.04
OYO Rooms Booking*62235,Travel,6270.97
HealthifyMe Premium,Healthcare,1013.71
tour payment,Travel,687.48
tuition fee payment,Education,6758.72
Reliance Digital,Shopping,1064.44
1mg Medicines Online,Healthcare,2327.54
AkasaAir Booking,Travel,4495.96
Vogo Scooter,Transport,299.33
BIGBSKT*89223,Groceries,2339.72
Swiggy Instamart,Groceries,1192.95
milk subscription daily,Groceries,1616.78
clothes shopping,Shopping,961.14
Cult.fit Membership,Healthcare,1429.76
canteen payment,Food & Dining,1121.47
Coursera India Course,Education,5617.27
DMart Ready Grocery,Groceries,1049.21
Medplus Pharmacy,Healthcare,1526.78
Milkbasket Order,Groceries,363.13
Coursera India Course,Education,337.73
Manipal Hospital,Healthcare,2949.78
BluSmart EV Cab,Transport,644.7
NEET coaching fee,Education,2101.18
Indian Oil Fuel,Transport,792.52
Tata Power Mumbai Bill,Utilities & Bills,316.1
petrol pump payment,Transport,257.37
IndiGo Airlines,Travel,11692.65
DTH recharge Tata Sky,Utilities & Bills,872.35
gaming purchase Steam,Entertainment,435.26
JioMart Kiryana Store,Groceries,1403.72
d2h recharge,Utilities & Bills,198.91
IndiGo Airlines,Travel,8041.12
1mg Medicines Online,Healthcare,1219.3
Ludo King Premium,Entertainment,311.67
Apple Music India,Entertainment,800.25
hotel booking online,Travel,4057.76
EatFit Health,Food & Dining,887.21
PharmEasy Order,Healthcare,2641.3
Spotify Premium India,Entertainment,601.92
Nature's Basket Order,Groceries,863.48
auto rickshaw UPI,Transport,431.18
IRCTC E-TICKET*48566,Transport,216.2
book purchase Amazon,Education,5874.34
Myntra Fashion,Shopping,3294.04
BYJU'S App Payment,Education,3053.65
mobile accessories,Shopping,878.0
entertainment subscription,Entertainment,235.29
H&M India Online,Shopping,4908.97
Domino's Pizza Order,Food & Dining,728.13
travel booking,Travel,1535.95
Great Learning Program,Education,4755.04
Lifestyle Stores,Shopping,1389.26
Apple Music India,Entertainment,611.81
petrol pump payment,Transport,439.22
UPI transfer friend,Transfers & ATM,11174.59
H&M India Online,Shopping,939.57
online course payment,Education,5163.16
Amazon Pay India*20646,Shopping,417.26
Netmeds Medicine Order,Healthcare,1491.03
dinner online order,Food & Dining,262.0
Fassos Wrap,Food & Dining,1195.63
Mahanagar Gas Bill,Utilities & Bills,693.94
hotel booking online,Travel,8000.86
JEE preparation course,Education,4812.4
Flipkart Internet Pvt,Shopping,945.94
Airtel Prepaid Recharge,Utilities & Bills,1178.81
Netflix India Subscription,Entertainment,367.55
Airbnb India Stay,Travel,8724.75
Puma Online India,Shopping,1771.02
grocery shopping online,Groceries,1452.41
MSEDCL Electricity,Utilities & Bills,1342.12
hospital bill payment,Healthcare,2714.11
NEFT*13578,Transfers & ATM,4658.83
exam registration fee,Education,590.76
EatFit Health,Food & Dining,805.8
Myntra Fashion,Shopping,2621.34
travel booking,Travel,11603.55
Hathway Internet,Utilities & Bills,2384.37
sabzi mandi payment,Groceries,2005.37
ZEE5 Premium,Entertainment,760.39
Udemy Course Purchase,Education,6129.81
BookMyShow Ticket*56388,Entertainment,597.8
kirana store upi,Groceries,2086.61
Yatra.com Ticket,Travel,3744.32
phonepe send,Transfers & ATM,14575.5
weekly grocery,Groceries,901.33
Medplus Pharmacy,Healthcare,1343.65
zomato order khaana,Food & Dining,860.87
1mg Medicines Online,Healthcare,434.46
tuition fee payment,Education,471.86
Uber India Trip,Transport,278.27
online course payment,Education,2505.1
Netflix India Subscription,Entertainment,577.99
Duolingo Premium,Education,2618.19
weekly grocery,Groceries,1959.87
eye clinic glasses,Healthcare,1994.52
Uber India Trip,Transport,798.94
IMPS*25963,Transfers & ATM,10767.09
AIRTEL*22202,Utilities & Bills,1066.24
kirana store upi,Groceries,1606.46
WinZO Games,Entertainment,387.21
yoga class,Healthcare,1412.87
Ola Electric Scooter,Transport,631.81
phonepe send,Transfers & ATM,676.77
Air India Ticket,Travel,2970.46
BigBasket BB Order*73263,Groceries,2281.4
Behrouz Biryani,Food & Dining,1092.4
Columbia Asia,Healthcare,2911.94
Puma Online India,Shopping,3945.04
GOIBO*32662,Travel,6115.18
APOLLO*36433,Healthcare,1170.08
MakeMyTrip Hotel*26389,Travel,8869.38
Xbox Game Pass,Entertainment,529.53
petrol pump payment,Transport,519.06
organic grocery store,Groceries,2031.92
Nike India,Shopping,3843.69
Simplilearn Course,Education,5639.32
zomato order khaana,Food & Dining,168.26
UPI transfer friend,Transfers & ATM,4518.61
petrol pump payment,Transport,776.79
MPL Gaming,Entertainment,295.11
educational material,Education,5945.58
Reliance Digital,Shopping,4478.28
Amazon Prime Video,Entertainment,765.49
Coursera India Course,Education,5878.33
Nature's Basket Order,Groceries,1872.28
electricity bill payment,Utilities & Bills,2465.16
certification exam fee,Education,4452.04
Adidas India Store,Shopping,2943.52
IMPS*72717,Transfers & ATM,11192.01
TNEB Power Bill,Utilities & Bills,799.31
Burger King India,Food & Dining,1048.41
Spencer's Retail,Groceries,2266.65
Paytm Wallet Load,Transfers & ATM,1261.59
money sent UPI,Transfers & ATM,6966.6
certification exam fee,Education,1807.79
Excitel Broadband,Utilities & Bills,1742.96
Domino's Pizza Order,Food & Dining,711.65
ott platform payment,Entertainment,922.27
BPCL Petrol,Transport,77.52
skill development course,Education,1187.74
utility bill,Utilities & Bills,1834.39
grocery shopping online,Groceries,889.39
NETFLIX*55718,Entertainment,603.44
gaming purchase Steam,Entertainment,195.57
gaming purchase Steam,Entertainment,672.96
Meesho App Purchase,Shopping,3925.4
friend money sent,Transfers & ATM,3888.09
